"index","id","scene","realPath","aiExpectedPath","commonsPage","author","license","licenseUrl"
"1","real_01_flooded-downtown","Flooded downtown avenue after heavy rain","real/real_01_flooded-downtown.jpg","ai/ai_01_flooded-downtown.jpg","https://commons.wikimedia.org/wiki/File%3ARed_Dragon_scuplture_during_River_Lee_flooding%2C_October_2023.jpg","Podstawko","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"2","real_02_press-briefing","Press briefing with microphones and speakers","real/real_02_press-briefing.jpg","ai/ai_02_press-briefing.jpg","https://commons.wikimedia.org/wiki/File%3AEdi_Rama%2C_press_conference%2C_ITB_2025%2C_Berlin_(ITB56439).jpg","Matti Blume","CC BY-SA","//commons.wikimedia.org/wiki/File:Edi_Rama,_press_conference,_ITB_2025,_Berlin_(ITB56439).jpg"
"3","real_03_night-rain-traffic","Night traffic in the rain","real/real_03_night-rain-traffic.jpg","ai/ai_03_night-rain-traffic.jpg","https://commons.wikimedia.org/wiki/File%3ADelhi%2C_India%2C_Rain_at_night.jpg","Vyacheslav Argenberg","CC BY 4.0","https://creativecommons.org/licenses/by/4.0"
"4","real_04_crowded-platform","Crowded transit platform","real/real_04_crowded-platform.jpg","ai/ai_04_crowded-platform.jpg","https://commons.wikimedia.org/wiki/File%3ACrowded_Train_Platform_During_9-Euro_Ticket_Period_in_Germany.jpg","Spinarak","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en"
"5","real_05_smoke-neighborhood","Smoke over a residential neighborhood","real/real_05_smoke-neighborhood.jpg","ai/ai_05_smoke-neighborhood.jpg","https://commons.wikimedia.org/wiki/File%3ASmoke_in_Minneapolis.jpg","ザアンノウンエディター","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"6","real_06_storm-cleanup","Storm damage cleanup crew at work","real/real_06_storm-cleanup.jpg","ai/ai_06_storm-cleanup.jpg","https://commons.wikimedia.org/wiki/File%3ACleanup_efforts_after_storm_Xavier._Spielvogel_3.jpg","Spielvogel","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"7","real_07_reporter-weather","Reporter filming outdoors in bad weather","real/real_07_reporter-weather.jpg","ai/ai_07_reporter-weather.jpg","https://commons.wikimedia.org/wiki/File%3AN24-Reporter_mit_Kameramann_-_K%C3%B6ln_(7344).JPG","Raimond Spekking","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"8","real_08_market-square","Public market square with a large crowd","real/real_08_market-square.jpg","ai/ai_08_market-square.jpg","https://commons.wikimedia.org/wiki/File%3AFerryhill_Market_Square_1945_-_geograph.org.uk_-_88616.jpg","Colin Coates","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0"
"9","real_09_construction-workers","Construction workers on a steel frame","real/real_09_construction-workers.jpg","ai/ai_09_construction-workers.jpg","https://commons.wikimedia.org/wiki/File%3AConstruction_Workers.jpg","photo taken by flickr Paul Keheler","CC BY 2.0","https://creativecommons.org/licenses/by/2.0"
"10","real_10_street-food","Street food being prepared in Old Delhi","real/real_10_street-food.jpg","ai/ai_10_street-food.jpg","https://commons.wikimedia.org/wiki/File%3AStreet_Food.jpg","J. Miers","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"11","real_11_beijing-food-market","Busy Beijing street food market","real/real_11_beijing-food-market.jpg","ai/ai_11_beijing-food-market.jpg","https://commons.wikimedia.org/wiki/File%3ABeijing_Street_Food_Market_(9870620283).jpg","Gary Todd from Xinzheng, China","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en"
"12","real_12_rainy-street","Rainy street viewed through wet glass","real/real_12_rainy-street.jpg","ai/ai_12_rainy-street.jpg","https://commons.wikimedia.org/wiki/File%3ARainy_street.jpg","Eman abdelkader","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"13","real_13_restaurant-kitchen","Commercial restaurant kitchen","real/real_13_restaurant-kitchen.jpg","ai/ai_13_restaurant-kitchen.jpg","https://commons.wikimedia.org/wiki/File%3ARestaurant_Kitchen.jpg","Visitor7","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0"
"14","real_14_students-classroom","Students studying in a classroom","real/real_14_students-classroom.jpg","ai/ai_14_students-classroom.jpg","https://commons.wikimedia.org/wiki/File%3AStudents_in_classroom.jpg","Esthee2010","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"15","real_15_firefighters","Firefighters working outdoors","real/real_15_firefighters.jpg","ai/ai_15_firefighters.jpg","https://commons.wikimedia.org/wiki/File%3AFirefighters.jpg","Junior Libby","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en"
